Time,Username,Slug,Content
22:11:16,botanical_gamer,botanical_gamer,hugh puffner
22:11:19,botanical_gamer,botanical_gamer,🤣🤣
22:11:19,HorneyKhorne,horneykhorne,what up people
22:11:42,Somebody_LXIX,somebody-lxix,Morning horney!!
22:11:48,Somebody_LXIX,somebody-lxix,[emote:366849:loochyloochyCash]
22:11:48,Gillette568,gillette568,Too stoned. Obvs wake and bake.
22:11:49,Somebody_LXIX,somebody-lxix,[emote:366849:loochyloochyCash]
22:11:49,Somebody_LXIX,somebody-lxix,[emote:366849:loochyloochyCash]
22:11:49,Somebody_LXIX,somebody-lxix,[emote:366849:loochyloochyCash]
22:11:50,Goffcart24,goffcart24,[emote:386330:kraftykaylubLetsGo]
22:11:52,HULK_OUT,hulk-out,[emote:366849:loochyloochyCash]
22:11:54,Djconwaytitty,djconwaytitty,Awesome video yesterday
22:11:57,Goffcart24,goffcart24,!rain
22:11:57,BotRix,botrix,[emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash][emote:366849:loochyloochyCash]
22:12:00,brighteyes53,brighteyes53,He said he didn't want to for this scenario because he's only using it for close quarters
22:12:01,TheHoss330,thehoss330,[emote:760699:loochyloochyLoud]
22:12:03,B1GG13SMA11s,b1gg13sma11s,[emote:366849:loochyloochyCash]
22:12:03,B1GG13SMA11s,b1gg13sma11s,[emote:1730761:emojiCry]
22:12:03,B1GG13SMA11s,b1gg13sma11s,[emote:366849:loochyloochyCash]
22:12:05,B1GG13SMA11s,b1gg13sma11s,[emote:366849:loochyloochyCash]
22:12:09,Bags_and_juice,bags-and-juice,I believe the green
22:12:10,B1GG13SMA11s,b1gg13sma11s,[emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash] [emote:366849:loochyloochyCash]
22:12:15,UMadSlapyomomma,umadslapyomomma,Ty for the gift
22:12:17,Gillette568,gillette568,[emote:446013:loochyLoochyGag]
22:12:18,Somebody_LXIX,somebody-lxix,Chat does anyone know yesterday's daily subs?
22:12:21,BiGGSiDD,biggsidd,Morning Loochy
22:12:26,HULK_OUT,hulk-out,[emote:366852:loochy10Piece] [emote:366852:loochy10Piece] [emote:366852:loochy10Piece] [emote:366852:loochy10Piece]
22:12:33,BassinWi_22,bassinwi-22,ahh alright I saw it used yesterday in that SOLO YOLO tourney and it fried.
22:12:33,tubbzprowd,tubbzprowd,I don't ish I could play WARZONE but I can't coz I can't afford console or pc setups for playing mw3 so as I've been doing for past year now I watch pro gaming streamers like yaself play instead as I sit and just imagine I'm playing too 😶‍🌫️
22:12:39,BassinWi_22,bassinwi-22,Is he doing a challenge?
22:12:45,HorneyKhorne,horneykhorne,5 million
22:12:48,BigDaddySitch,bigdaddysitch,better question is, how the fuck do you have an 18 month badge? lol
22:12:53,PIKE2C,pike2c,@Somebody_LXIX 11
22:12:56,SaxeY373,saxey373,Didnt fix it. But all good ill watch until they fix it
22:12:57,Somebody_LXIX,somebody-lxix,👍
22:13:00,Lovingmybabies62416,lovingmybabies62416,he died in gas
22:13:04,brighteyes53,brighteyes53,he's gonna do a match of all bounties
22:13:05,HAYNICK,haynick,I think they died to gas
22:13:09,Bags_and_juice,bags-and-juice,afk in gas
22:13:10,tubbzprowd,tubbzprowd,I mean I wish I could play mybad
22:13:11,tboneguru,tboneguru,maybe AFK
22:13:12,BassinWi_22,bassinwi-22,Thanks
22:13:13,Somebody_LXIX,somebody-lxix,I'm just better lol
22:13:15,dypo1234,dypo1234,Warzone one load out???
22:13:19,Somebody_LXIX,somebody-lxix,Goat!
22:13:23,Somebody_LXIX,somebody-lxix,!total
22:13:23,BotRix,botrix,476/500 (end of stream 8 December)
22:13:42,KimOOooo,kimooooo,died gas
